"Team","year","Conference","Games","Win","Loss","Off.Rank","Off.Plays","Off.Yards","Off.Yards.Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards.Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","X4th.Down.Rank","X4th.Attempts","X4th.Conversions","X4th.Percent","X4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","...41","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown.x","Pass.Yards","Pass.Yards.Attempt","Yards.Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards.Attempt.Allowed","Yards.Completion.Allowed","Pass.Yards.Per.Game.Allowed","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards.Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds.Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","X2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Scoring.Off.Rank","Touchdowns","PAT","X2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","X3rd.Down.Rank","X3rd.Attempts","X3rd.Conversions","X3rd.Percent","X3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown.y","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","X","Wins","Losses","NA.","Interceptions.Thrown_x","Opp.Field.Goals.Made","Field.Goals","Interceptions.Thrown_y","Kickoff.Touchbacks_x","Kickoff.Touchbacks_y","rank","recruiting.points"
"Alabama",2019,"SEC",13,11,2,6,842,6640,7.89,76,510.8,20,877,4217,4.81,24,26,324.4,40,95,121,31,247,40,95,121,31,247,12,13,19,0.684,11,7,19,0.368,11,27,35,469,0,17.37,11,27,35,469,0,17.37,3,406,287,6,4449,10.96,15.5,49,342.2,11,230,410,2434,15,5.94,10.58,187.2,114,95,855,65.77,89,11,101,0,9.18,89,11,101,0,9.18,64,62,22,21,9,52,0.839,74,32,9,9,9,27,0.844,56,436,2191,5.03,27,168.5,37,467,1783,3.82,9,137.2,3,12,81,0.92,13,26,22,2,0,20,0,242,18.6,2,83,80,0,0,12,0,614,47.2,61,61,34,317,78,6,3,153,80,0.523,35,66,185,0.357,70,"   389:58","   29:59",3,11,17,28,4,6,10,18,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,317.5
"Alabama",2020,"SEC",11,11,0,5,764,5983,7.83,68,543.9,33,767,3863,5.04,25,25,351.2,92,76,119,21,216,92,76,119,21,216,102,3,7,0.429,77,11,19,0.579,34,33,17,610,0,18.48,34,33,17,610,0,18.48,5,350,263,4,3895,11.13,14.81,33,354.1,78,227,393,2679,14,6.82,11.8,243.5,46,66,522,47.45,32,4,19,0,4.75,32,4,19,0,4.75,11,60,30,16,9,55,0.917,28,30,10,5,8,23,0.767,44,414,2088,5.04,35,189.8,12,374,1184,3.17,11,107.6,25,16,101,1.45,19,25,23,1,0,13,0,214,19.5,2,73,73,0,0,12,0,547,49.7,39,59,30,272,74,6.7,1,125,74,0.592,71,69,170,0.406,48,"   338:15","   30:45",12,10,11,21,7,4,11,10,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,310.44
"Alabama",2021,"SEC",15,NA,NA,7,NA,NA,6.54,69,488.2,7,956,NA,4.77,34,36,304.1,72,86,141,36,263,72,86,141,36,263,69,9,18,0.5,78,17,31,0.548,35,24,62,455,1,NA,35,24,62,455,1,18.96,7,571,380,7,NA,8.88,13.35,48,338.2,50,297,471,NA,25,6.94,11.01,218.1,113,107,990,66,42,12,73,0,6.08,42,12,73,0,6.08,5,68,20,26,17,63,0.926,79,40,8,14,12,34,0.85,75,548,NA,4.11,21,150,4,485,NA,2.66,9,86,106,42,284,2.8,18,36,33,1,0,17,0,302,20.1,6,75,71,4,0,23,0,598,39.9,4,103,36,549,121,8.1,3,225,117,0.52,7,65,209,0.311,19,"   475:46","   31:43",21,7,15,22,6,7,13,9,0.6,3,"13","2",18.96,NA,NA,NA,NA,NA,NA,1,327.91
"Alabama",2022,"SEC",13,NA,NA,11,896,6202,6.92,63,477.1,13,901,4137,4.59,27,27,318.2,24,121,164,25,310,40,93,114,34,241,43,9,16,0.562,16,10,26,0.385,104,21,372,0,17.71,NA,24,34,47,593,0,17.44,19,438,280,NA,3660,8.36,13.07,37,281.5,17,238,434,2442,12,5.63,10.26,187.8,123,103,893,68.69,3,26,435,2,16.73,48,11,67,0,6.09,25,64,20,24,13,57,0.891,20,43,12,8,13,33,0.767,30,458,2542,5.55,26,195.5,36,466,1695,3.64,15,130.4,45,22,153,1.69,9,27,22,2,0,NA,0,236,18.2,4,67,64,1,0,NA,0,534,41.1,21,67,46,368,90,6.9,25,162,74,0.457,10,60,197,0.305,63,"389:25","29:57",80,7,7,14,8,NA,16,-2,-0.15,10,"11","2",NA,8,16,22,8,NA,NA,2,322.25
"Alabama",2023,"SEC",14,NA,NA,56,886,5503,6.21,55,393.1,18,883,4424,5.01,32,32,316,30,95,113,20,228,30,95,113,20,228,9,5,7,0.714,20,11,27,0.407,14,25,407,0,16.28,NA,14,25,NA,407,0,16.28,68,325,208,NA,3086,9.5,14.84,23,220.4,24,245,413,2675,17,6.48,10.92,191.1,47,78,655,46.79,87,13,120,0,9.23,87,13,120,0,9.23,11,52,26,10,12,48,0.923,65,41,14,9,11,34,0.829,46,561,2417,4.31,32,172.6,31,470,1749,3.72,15,124.9,122,49,360,3.5,16,32,30,1,0,14,0,266,19,23,58,56,2,0,22,1,476,34,46,59,48,367,83,5.9,23,182,82,0.451,23,63,191,0.33,46,"430:15","30:44",17,7,12,19,5,NA,11,8,0.57,55,"12","2",NA,6,NA,NA,6,53,53,1,328
"Arizona State",2019,"Pac-12",13,8,5,94,842,4837,5.74,34,372.1,67,928,5113,5.51,39,39,393.3,87,94,155,24,273,87,94,155,24,273,55,9,16,0.563,80,13,24,0.542,74,37,21,779,0,21.05,74,37,21,779,0,21.05,53,383,233,4,3235,8.45,13.88,21,248.8,115,296,465,3487,24,7.5,11.78,268.2,108,85,818,62.92,69,20,154,0,7.7,69,20,154,0,7.7,16,45,12,8,21,41,0.911,36,39,14,14,3,31,0.795,115,459,1602,3.49,13,123.2,26,463,1626,3.51,15,125.1,103,33,182,2.54,35,39,39,0,0,6,0,291,22.4,96,36,29,4,0,23,0,322,24.8,79,59,30,317,74,5.7,83,187,72,0.385,86,79,192,0.411,86,"   379:57","   29:13",6,15,13,28,10,4,14,14,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,219.76
"Arizona State",2020,"Pac-12",4,2,2,20,252,1834,7.28,21,458.5,89,322,1743,5.41,13,13,435.8,10,49,40,4,93,10,49,40,4,93,118,2,6,0.333,42,8,16,0.5,42,14,10,267,0,19.07,42,14,10,267,0,19.07,99,87,51,1,777,8.93,15.24,5,194.2,89,100,158,1010,6,6.39,10.1,252.5,76,28,218,54.5,61,4,28,0,7,61,4,28,0,7,37,15,11,1,1,13,0.867,52,17,7,6,1,14,0.824,8,165,1057,6.41,16,264.2,87,164,733,4.47,7,183.2,26,6,43,1.5,34,13,8,2,0,1,0,93,23.2,14,22,18,0,0,3,1,161,40.2,66,20,8,93,24,6,28,45,21,0.467,97,31,69,0.449,83,"   116:04","   29:01",1,8,5,13,4,1,5,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,229.47
"Arizona State",2021,"Pac-12",13,NA,NA,75,807,NA,6.22,46,386,13,853,NA,4.97,31,31,326,56,102,119,36,257,56,102,119,36,257,23,9,14,0.643,55,13,26,0.5,45,17,44,338,0,NA,45,17,44,338,0,19.88,99,313,206,10,NA,8.08,12.28,12,194.6,20,229,382,NA,13,6.63,11.06,194.8,128,114,NA,78.46,39,15,84,0,5.6,39,15,84,0,5.6,88,52,26,8,8,42,0.808,76,46,16,10,13,39,0.848,35,494,NA,5.04,34,191.4,33,471,NA,3.62,18,131.2,60,28,174,2.15,22,31,28,0,0,19,0,271,20.8,67,49,43,3,0,8,1,369,28.4,67,59,30,336,74,5.7,26,150,67,0.447,48,67,180,0.372,82,"   381:29","   29:21",70,5,16,21,11,10,21,0,0,6,"8","5",19.88,NA,NA,NA,NA,NA,NA,48,185.98
"Arizona State",2022,"Pac-12",12,NA,NA,67,788,4646,5.9,39,387.2,104,841,5058,6.01,45,46,421.5,78,88,145,22,255,109,120,138,30,288,26,12,20,0.6,24,7,17,0.412,7,33,797,0,24.15,NA,37,24,31,437,0,18.21,47,403,270,NA,3023,7.5,11.2,18,251.9,79,246,406,2801,14,6.9,11.39,233.4,129,87,868,72.33,124,19,63,0,3.32,114,21,265,1,12.62,62,46,18,14,7,39,0.848,115,56,28,10,12,50,0.893,90,385,1623,4.22,21,135.2,107,435,2257,5.19,31,188.1,80,28,213,2.33,107,46,43,2,0,NA,0,377,31.4,79,40,34,3,0,NA,0,313,26.1,124,39,22,182,50,4.2,59,151,60,0.397,127,82,166,0.494,47,"368:29","30:42",109,1,11,12,9,NA,18,-6,-0.5,66,"3","9",NA,9,18,11,9,NA,NA,103,120.17
"Arizona State",2023,"Pac-12",12,NA,NA,109,814,3867,4.75,25,322.2,89,800,4762,5.95,44,46,396.8,60,91,140,19,250,60,91,140,19,250,85,18,38,0.474,90,12,21,0.571,16,15,246,0,16.4,NA,16,15,NA,246,0,16.4,86,440,243,NA,2524,5.74,10.39,8,210.3,120,271,419,3160,28,7.54,11.66,263.3,66,68,617,51.42,103,13,148,1,11.38,103,13,148,1,11.38,21,32,17,2,10,29,0.906,46,54,12,17,15,44,0.815,111,374,1343,3.59,17,111.9,36,381,1602,4.2,16,133.5,93,30,166,2.5,107,46,44,1,0,20,0,382,31.8,121,25,20,5,0,11,0,213,17.8,81,46,38,316,65,5.4,117,170,54,0.318,88,66,161,0.41,58,"363:19","30:17",127,4,5,9,6,NA,20,-11,-0.92,108,"3","9",NA,14,NA,NA,14,24,24,44,201.23
